source,externalId,name,address,latitude,longitude,city,country,email,website,secondaryUrl,logo,images,industry,description
firstvoucher,ede3239b-56b9-4823-b295-89c936a38685,HaaresZeiten,"Bahnhofstraße 2, 56288 Kastellaun",50.0695136,7.4420722,Kastellaun,Germany,petra.link@icloud.com,,https://haareszeiten.firstvoucher.com,,https://haareszeiten.firstvoucher.com/media/abf7add1-8b4f-45aa-b485-3da13cea71ed.jpg?w=800,Frisör,
firstvoucher,5df3d37b-e0b3-480e-867d-4b02799789c1,Diars Bar,"Kurhausstraße 64, 23795 Bad Segeberg",53.941846,10.3062358,Bad Segeberg,Germany,info@diars-bar.com,http://diars-bar.com/,https://diarsbar.firstvoucher.com,,https://diarsbar.firstvoucher.com/media/9df7a92d-3a15-42ac-aeda-8f9eb82ebc0a.jpg?w=800,Gastronomie,
firstvoucher,c43945aa-7bdf-443b-b94e-aff0aabaaae9,Traenensammler Tattoostudio,"Steinigstraße 9, 39108 Magdeburg",52.1316997,11.6108034,Magdeburg,Germany,tattoo@traenensammler.de,http://www.traenensammler.de,https://traenensammler.firstvoucher.com,,https://traenensammler.firstvoucher.com/media/bad83979-1afd-4791-8ed2-02b3295a412c.jpg?w=800,Sonstige,
firstvoucher,088cafb8-ed0a-4315-822d-38df16cef82a,Der Tanzhase,"Dorfstraße 6-8, 24640 Hasenmoor",53.9104213,10.0262291,Hasenmoor,Germany,der-tanzhase@web.de,https://www.der-tanzhase.com/,https://dertanzhase.firstvoucher.com,,https://dertanzhase.firstvoucher.com/media/1ef54009-0353-47a0-a427-0dbf136ea596.jpg?w=800,Gastronomie,
firstvoucher,7760044a-06bc-4183-bbad-c7fc072ae43b,Der Gutschmecker Bad Bramstedt,"Hamburger Straße 37, 24576 Bad Bramstedt",53.9111221,9.8817732,Bad Bramstedt,Germany,info@der-gutschmecker.com,https://der-gutschmecker.com/,https://dergutschmecker-badbramstedt.firstvoucher.com,,https://dergutschmecker-badbramstedt.firstvoucher.com/media/7a45497d-0749-4129-bcac-84f58167903e.jpg?w=800,Gastronomie,
firstvoucher,54751acc-125f-40f9-9e60-5832981362ed,MODERNTENNIS,"Im Stegen 11, 79241 Ihringen",48.04036,7.64963,Ihringen,Germany,proegler@visionsports.de,http://www.moderntennis.de,https://moderntennis.firstvoucher.com,,https://moderntennis.firstvoucher.com/media/2d448a21-122f-43d7-ad54-9b90824f9abd.jpg?w=800,Sonstige,
firstvoucher,36753efb-6373-4aee-9a48-03b6422352f8,Der Gutschmecker Bad Segeberg,"Kurhausstraße 63, 23795 Bad Segeberg",53.9413185,10.3068737,Bad Segeberg,Germany,info@der-gutschmecker.com,https://der-gutschmecker.com/,https://dergutschmecker.firstvoucher.com,,https://dergutschmecker.firstvoucher.com/media/d39e3979-a7a7-4b06-bbf2-a008430a96bd.jpg?w=800,Gastronomie,
firstvoucher,f0f93411-e68a-445e-a832-eaea08ac307f,Handyconcept,"Darmstädter Str 17, 64372 Ober-Ramstadt",49.8296853,8.7470902,Ober-Ramstadt,Germany,info@handyconcept.de,http://handyconcept.de,https://handyconcept-gutschein.firstvoucher.com,,https://handyconcept-gutschein.firstvoucher.com/media/5d3fb741-985e-4a16-b634-876c7ea80c26.jpg?w=800,Einzelhandel,
firstvoucher,415366b9-1de6-4abb-b43e-e337bb136767,Weinkönner | Tasting Store,"Könneritzstr.8, 04229 Leipzig",51.3288687,12.3461463,Leipzig,Germany,info@weinkoenner.com,http://www.weinkoenner.com,https://weinkoenner.firstvoucher.com,,https://weinkoenner.firstvoucher.com/media/ea67394a-a74e-4b34-958d-ae36e1341f4b.jpg?w=800,Einzelhandel,
firstvoucher,29924306-5c32-484a-b779-3c2254aa116c,ZauberNuss Floristik und Dekoration,"Raiffeisenpassage 11-13, 23858 Reinfeld",53.8322362,10.4911868,Reinfeld,Germany,natascha.knepper@zaubernuss.de,http://www.zaubernuss-reinfeld.de,https://zauernussreinfeld.firstvoucher.com,,https://zauernussreinfeld.firstvoucher.com/media/0cef4394-fe36-4cdf-b697-6405904de2ea.jpg?w=800,Einzelhandel,
